ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,HATE_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,ARAB_MIDDLE_EASTERN,ASIAN_PACIFIC_ISLANDER,BLACK_AFRICAN_AMERICAN_AFRICAN,CARIBBEAN_INDO-CARIBBEAN,HISPANIC_LATINO_A_X,SOUTH_ASIAN,JEWISH,HINDU,MUSLIM,SIKH,INDIGENOUS_FIRST_PEOPLE_AMERICAN_INDIAN_NATIVE_AMERICAN,LGBTQ+,TRANSGENDER_AND_GENDER_NONCONFORMING_FOCUS,PEOPLE_WITH_DISABILITIES,BOROUGH,X,Y,WEBSITE
Mount Sinai Adolescent Health Center,Mount Sinai Adolescent Health Center,"320 E 94th Street ","New York, NY 10128",212-423-2900,,1,1,1,1,1,,,1,1,,1,,,,,1,,,,,,,1,,,,Monday - Friday: 9 am - 5 pm,Saturdays: 9 am - 4 pm,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,998874,224307,http://www.mountsinai.org/patient-care/service-areas/adolescent-health-center
"Neighborhood SHOPP Violence, Intervention & Prevention Program (SHOPP VIP)",South Bronx,"953 Southern Boulevard, Suite 203","Bronx, NY 10459",718-542-0006,,1,1,1,1,,,,,,,1,1,,1,,1,1,1,1,1,1,,,,1,Elder Abuse/Crime Victim,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"SHOPP Has Access to Language Line and Therefore can Provide Services in Over 240 Languages
",1,Self referrals are welcomed,,,,,,,,,,,,,,,Bronx,1014115,238615,http://www.nshopp.org/
"NYC Health + Hospitals ",Elmhurst Sexual Assault Forensic Examination (SAFE) Center,79-01 Broadway,"Elmhurst, NY 11373",718-334-3054,,,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1015938,210765,"https://www.nychealthandhospitals.org/Elmhurst "
"NYC Health + Hospitals ",Queens Sexual Assault Forensic Examination (SAFE) Center,82-68 164th Street,"Jamaica, NY 11432",718-883-3090,,,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1038117,200827,"https://www.nychealthandhospitals.org/Queens "
"NYC Health + Hospitals ",Kings County Sexual Assault Forensic Examination (SAFE) Center,451 Clarkson Ave,"Brooklyn, NY 11203",718-245-3100,,,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,999748,178509,https://www.nychealthandhospitals.org/KingsCounty/
"NYC Health + Hospitals ",Coney Island Sexual Assault Forensic Examination (SAFE) Center,2601 Ocean PKWY,"Brooklyn, NY 11235",718-616-3000,,,1,,1,,1,,1,1,,1,1,,,,,,1,,1,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,994008,152645,https://www.nychealthandhospitals.org/ConeyIsland/
"NYC Health + Hospitals ",Woodhull Sexual Assault Forensic Examination (SAFE) Center,"760 Broadway ","Brooklyn, NY 10003",718-963-8000,,,1,,1,,1,,1,1,,1,1,,,,,,1,,1,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,1000128,194128,"https://www.nychealthandhospitals.org/Woodhull "
"NYC Health + Hospitals ",Bellevue Sexual Assault Forensic Examination (SAFE) Center,462 First Avenue,"New York, NY 10016",212-562-4141,,,,,1,,,,1,1,,1,,,,,,,1,,1,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,,1,1,,,,,,,1,,,,Manhattan,991083,208423,https://www.nychealthandhospitals.org/bellevue/
"NYC Health + Hospitals ",Harlem Sexual Assault Forensic Examination (SAFE) Center,506 Lenox Avenue,"New York, NY 10037",212-939-1000,,,,,1,,,,1,1,,1,,,,,,,1,,1,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,,1,1,,,,,,,1,,,,Manhattan,1000923,235890,https://www.nychealthandhospitals.org/harlem/
"NYC Health + Hospitals ",Metropolitan  Sexual Assault Forensic Examination (SAFE) Center,1901 First Avenue,"New York, NY 10029",212-423-6262,,,,,1,,,,1,1,,1,,,,,,,1,,1,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,,1,1,,,,,,,1,,,,Manhattan,999492,225298,https://www.nychealthandhospitals.org/metropolitan/
"NYC Health + Hospitals ",Lincoln Sexual Assault Forensic Examination (SAFE) Center,234 East 149th Street,"Bronx, NY 10451",718-579-5784,,,,,1,,,,1,1,,1,1,,,,,,1,,1,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,,1,1,,,,,,,1,,,,Bronx,1005154,236853,https://www.nychealthandhospitals.org/Lincoln/
NYC Health + Hospitals,North Central Bronx Sexual Assault Forensic Examination (SAFE) Center,3424 Kossuth Avenue,"Bronx, NY 10467",718-519-3015,,,,,1,,,,1,1,,1,1,,,,,,1,,,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in over 240 Languages,1,,,,1,1,,,,,,,,,,,Bronx,1017133,260085,https://www.nychealthandhospitals.org/NCB
NYC Health + Hospitals,"Jacobi Sexual Assault Forensic Examination (SAFE) Center ",1400 Pelham Parkway South,"Bronx, NY 10461",718-918-5800,,,,,1,,,,1,1,,1,1,,,,,,1,,,,,1,1,1,SAFE examiners conduct forensic rape exams for patients who are 13 years of age or older (within 96 hours of an assault),"Open 24 hours 7 days a week
",,,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,,1,1,,,,,,,,,,,Bronx,1026683,250984,https://www.nychealthandhospitals.org/Jacobi/
NYC Health + Hospitals,Bellevue Victim Services Program,462 First Avenue,"New York, NY  10016",212-562-3755,,1,1,1,1,1,,,1,1,1,1,,,,,1,1,1,1,,,1,1,1,1,,Monday - Friday: 8 am - 5 pm,"24-hour social work services available through the Emergency Department, and 24-hour availability of trained volunteer advocates for sexual assault and domestic violence survivors",1,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,,1,1,,,,,,,,,,,Manhattan,991083,208423,https://www.nychealthandhospitals.org/bellevue/
NYC Health + Hospitals,Metropolitan Hospital Victim Assistance and Counseling Services Program,1901 First Avenue,"New York, NY  10029",212-423-7802,,1,1,1,1,1,,,1,1,1,1,,,,,1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,"8am-12am social work services available through the Emergency Department, and 24-hour availability of trained volunteer advocates for sexual assault and domestic violence survivors",1,,,,,,,,,,,,NYC Health + Hospitals Has Access to Language Line and Therefore can Provide Services in Over 240 Languages,,,,1,1,1,,,,,,,,,,,Manhattan,999492,225298,"https://www.nychealthandhospitals.org/metropolitan/ "
NYC Health + Hospitals,Harlem Hospital Center for Victim Support Program,506 Lenox Avenue,"New York, NY 10037",212-939-4613,,1,1,,1,,,,,,,1,,,,,1,1,1,1,1,1,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,Call 212-939-4600 to schedule an appointment,1,,1,1,1,1,,,1,,,1,1,1,Manhattan,1000923,235890,"https://www.nychealthandhospitals.org/harlem/ "
New Destiny Housing Corporation,Administrative Office,"12 W 37th Street, 7th Floor","New York, NY 10018",646-472-0262,,,,,,,,1,,,,,,,,,1,,1,1,,1,1,1,1,1,Serves victims who are current domestic violence shelter residents,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,1,,1,,1,1,1,1,1,1,,1,1,,Manhattan,988613,212723,http://www.newdestinyhousing.org/
New York City (NYC) Alliance Against Sexual Assault,,"32 Broadway, Suite 1101","New York, NY 10004",212-229-0345,,1,1,,1,,,,,1,,,,,,"Criminal Justice Support<br>
Helpline:  212-514-SAFE (7233)<br>
E-mail Questions to: survivorsupport@svfreenyc.org",,,1,,,,,1,1,1,Victims of Sexual Assault,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,1,1,1,,Manhattan,980716,196417,http://svfreenyc.org/
New York City Anti-Violence Project,"Main Office ","116 Nassau Street, 3rd Floor","New York, NY 10038",212-714-1141,,1,1,1,1,1,,,,,,1,,1,,,1,1,1,1,,1,1,1,1,1,,<ul><li>Main office hours:<br>Monday - Friday: 10 am - 6 pm</li><li>Walk-in hours:<br>Monday - Friday: 10 am - 3 pm</li></ul>,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,1,1,1,,Manhattan,982333,198173,https://avp.org/
New York City Anti-Violence Project,Manhattan Family Justice Center,"80 Centre Street, 5th Floor","New York, NY 10038",212-602-2800,,1,1,,1,1,,,,,,1,,,,,1,,1,,,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Wednesday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,,Manhattan,983763,199873,https://avp.org/
New York City Anti-Violence Project,Bronx Family Justice Center,"198 E 161st Street, 2nd Floor","Bronx, NY 10451",718-508-1220,,1,1,,1,1,,,,,,1,,,,,1,,,,1,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,1,1,1,1,1,1,1,1,1,,Bronx,1006186,240244,https://avp.org/
New York City Anti-Violence Project,Brooklyn Family Justice Center,"350 Jay Street, 16th Floor","Brooklyn, NY 11201",718-250-5111,,1,1,,1,1,,,,,,,,,,,1,1,1,,1,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Tuesday and Wednesday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,,Brooklyn,987687,192183,https://avp.org/
New York City Anti-Violence Project,Queens Family Justice Center,126-02 82nd Avenue,"Kew Gardens, NY 11415",718-757-4545,,1,1,,1,1,,,,,,1,,,,,1,,,,1,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,Queens,1032459,199212,https://avp.org/
New York City Anti-Violence Project,Staten Island Family Justice Center,126 Stuyvesant Place,"Staten Island, NY 10301",718-697-4300,,1,1,,1,1,,,,,,1,,,,,1,,,,1,,1,1,1,1,"Services for LGBTQ and HIV-affected survivors of intimate partner violence, elder abuse and/or sex trafficking",Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,,1,1,1,1,1,1,,1,1,,Staten Island,962818,173610,https://avp.org/
New York City Anti-Violence Project,Adolescent AIDS Program at Montefiore Medical Center,"3415 Bainbridge Ave, 4th Floor","Bronx, NY 10467",718-741-2426,,1,1,,1,1,,,,,,,,,,,1,1,1,1,1,1,,1,,,Serves LGBTQ survivors of violence who are under 25 years of age and impacted by HIV,Mondays: 11 am - 7 pm,,1,,,,,,,,,,,,,1,,1,1,,,1,,1,,1,,,,,1,Bronx,1017448,260210,https://avp.org/
New York City Anti-Violence Project,GMHC,"446 W 33rd Street ","New York, NY 10001",212-367-1100,,1,1,,1,1,,,,1,,,,,,,1,,,,1,,1,1,1,1,Serves LGBTQ survivors of intimate partner violence survivors living with HIV,Tuesday and Wednesday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,Manhattan,984587,213816,https://avp.org/
New York County District Attorney's Office,Main Office,1 Hogan Place,"New York, NY 10013",212-335-9040,,1,1,,1,,1,1,,1,,1,1,,,Single Stop Financial Counseling; Office of Victim Services,1,1,1,1,1,1,1,1,1,1,"Witnesses and victims of all crimes committed in New York County ","Monday - Friday: 8:30 am - 6 pm ",,1,,,,,1,,,,,,,Portuguese,1,,,1,,,1,1,,1,,,,,,,Manhattan,983948,200001,https://Manhattanda.org
New York County District Attorney's Office,Harlem Office,"163 W 125th Street, Room 733","New York, NY 10027",212-864-7884,,1,1,,1,,1,1,,1,,1,1,,,Single Stop Financial Counseling; Office of Victim Services,1,1,1,1,1,1,1,1,1,1,"Witnesses and victims of all crimes committed in New York County ","Monday - Friday: 9 am - 5 pm ",,1,,,,,,,,,,,,,1,,,1,,,1,,1,,1,1,,,,,Manhattan,998796,234042,https://Manhattanda.org
New York County District Attorney's Office,Washington Heights Office,"530 W 166th Street, Suite 6C","New York, NY 10032",212-335-3320,,1,1,,1,,1,1,,,,1,1,,,Single Stop Financial Counseling; Office of Victim Services,1,1,1,1,1,1,1,1,1,1,"Witnesses and victims of all crimes committed in New York County ","Monday - Friday: 9 am - 5 pm ",,1,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,1,1,Manhattan,1000959,245020,https://Manhattanda.org
New York Legal Assistance Group,,"7 Hanover Square ","New York, NY 10004",212-613-5000,,,,1,1,1,,,,,,1,1,,,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,Hebrew,1,,,,,,1,1,,,,1,,1,,,Manhattan,981573,195784,http://nylag.org/
North Brooklyn Coalition Against Family Violence,,893 Lexington Ave,"Brooklyn, NY 11221",718-302-4073,,1,1,1,1,1,,,,1,,1,1,,1,Support Groups and Therapy (Free of Charge and no Insurance Needed) to Victims of Domestic Violence and Sexual Assault,1,1,1,1,1,,,1,1,1,"We serve all victims regardless of race, ethnicity, sexual orientation, gender or immigration status. All services require appointments to be made by phone or by e-mailing help@northbrooklyncoalition.org or ayuda@northbrooklyncoalition.org ",Monday - Friday: 10 am - 7 pm,,1,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,1,1,Brooklyn,1005011,190972,www.northbrooklyncoalition.org
Northern Manhattan Improvement Corporation (NMIC),NMIC Main Office,45 Wadsworth Avenue,"New York, NY 10031",212-822-8300,,1,1,1,1,1,,,,1,,1,1,1,,,1,,,,,,,1,1,1,"Serves upper Manhattan and Western/ South Bronx residents, call to confirm eligibility",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,Manhattan,1001595,247553,http://www.nmic.org/
"Ohel Children's Home and Family Services, Inc.",Tikvah Regional Center,2925A Kings Highway,"Brooklyn, NY 11229",718-851-6300,,1,1,,1,,,1,1,1,,,,1,,,,1,1,,1,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 7 pm,,,,,,,,,,,1,,1,,1,,1,,,1,1,1,1,1,1,1,,1,1,1,Brooklyn,999455,163805,http://www.ohelfamily.org/
"Ohel Children's Home and Family Services, Inc.",The Kleinman Family OHEL Regional Center,156 Beach 9th Street,"Far Rockaway, NY 11691",718-851-6300,,1,1,,1,,,1,1,1,,,,1,,,,1,1,,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 7 pm,,,,,,,,,,,1,,,,1,,1,,,1,1,1,1,1,1,1,,1,1,1,Queens,1055498,156455,http://www.ohelfamily.org/
"Puerto Rican Family Institute, Inc. (PRFI)","Adult Care Coordination (Health Home) ","145 W 15th Street, 6th Floor","New York, NY 10011",212-924-6320,,1,,,,,,,,1,,1,,,,,,,,,,,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,Manhattan,984831,208499,http://www.prfi.org/
"Queens District Attorney's Office ","Crime Victims Advocate Program ",126-06 Queens Boulevard,"Kew Gardens, NY 11415",718-286-6812,,,,1,,1,,,,,1,,1,,,Service Linkages and Referrals to Additional Services,1,1,1,1,1,,1,1,1,,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,1,1,1,Queens,1032513,198553,http://www.queensda.org/
"Queens District Attorney's Office ",Elder Abuse Project,"80-02 Kew Gardens Rd, 1st floor","Kew Gardens, NY 11415",718-286-6562,,1,,,1,,,,,,,,,,,"New York State Office of Victim Services Claim application assistance, supportive counseling, advocacy, and referrals to other programs",1,1,1,1,1,1,,,,1,"Serves victims who are 60 years of age or older and reside in Queens, NY. Call the agency to make an appointment. No walk-in services offered",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,This program has access to Language Line and therefore can provide services in other languages,1,,,,1,,,,,,,,,,,,Queens,1031028,199305,http://www.queensda.org/
Richmond County District Attorney's Office Victim Services Unit,,130 Stuyvesant Place,"Staten Island, New York 10301",718-556-6300,,1,1,,1,1,,,,1,,1,,,,"New York State Office of Victim Services Claim Application Assistance, Criminal Justice Advocacy, Court Accompaniment, Assistance with Victim Impact Statements and Victim Notification Registration",,,,,1,,,,,,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,1,,1,1,1,1,1,1,,1,,,Staten Island,962916,173404,"
http://www.info@rcda.nyc.gov"
Safe Horizon,Queens Family Court,"151-20 Jamaica Avenue , 2nd Floor","Jamaica, NY 11432",718-262-0202,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,,1,,,Queens,1038933,195163,https://www.safehorizon.org/
Safe Horizon,"Brooklyn Family Court ","330 Jay St, 12th Floor","Brooklyn, NY 11201",718-834-7440,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,1,,,,1,1,1,1,1,1,,1,,,Brooklyn,987662,192339,https://www.safehorizon.org/
Safe Horizon,Bronx Family Court,"900 Sheridan Avenue , Room 1-40 ","Bronx, NY 10451",718-590-2371,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,1,1,,1,1,1,1,1,1,,1,,,Bronx,1006308,240467,https://www.safehorizon.org/
Safe Horizon,Staten Island Family Court,"30 Bay Street, 5th Floor","Staten Island, NY 10301",718-447-3820,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,,1,,,1,,1,,,,1,,1,Staten Island,963043,172942,https://www.safehorizon.org/
Safe Horizon,Manhattan Family Court,"60 Lafayette Street, Room 4C ","New York, NY 10013",212-577-1270,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,983491,200373,https://www.safehorizon.org/
Safe Horizon,Queens Criminal Court,"125-01 Queens Boulevard, Room G7 ","Kew Gardens, NY 11415",718-286-6083,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,1,,,,1,1,1,1,1,1,,1,1,1,Queens,1032548,198908,https://www.safehorizon.org/
Safe Horizon,Brooklyn Criminal Court,"120 Schermerhorn Street, 6th Floor","Brooklyn, NY 11201",718-834-7476,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,,1,1,1,Brooklyn,987315,190550,https://www.safehorizon.org/
Safe Horizon,Bronx Criminal Court,"215 E 161 Street, 3rd Floor3-34","Bronx, NY 10451",718-590-2355,,1,,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,Bronx,1006308,240467,https://www.safehorizon.org/
Safe Horizon,Staten Island Criminal Court,"26 Central Avenue, Lower Level, LL-11 ","Staten Island, NY 10304",718-727-7555,,1,,,1,,,,,1,,,,,,,1,1,1,1,,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,1,,,1,1,,1,1,1,1,1,1,,1,1,1,Staten Island,962826,172695,https://www.safehorizon.org/
Safe Horizon,Queens Community Office,"63-49 Alderton Street, 2nd Floor","Rego Park, NY 11374",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,Queens,1021596,204027,https://www.safehorizon.org/
Safe Horizon,Brooklyn Community Office,"50 Court Street, 9th Floor","Brooklyn, NY 11201",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,Brooklyn,986615,191555,https://www.safehorizon.org/
Safe Horizon,Bronx Community Office (BronxWorks),"1130 Grand Concourse ","Bronx, NY 10456",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,1,1,1,,Tuesday - Thursday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,1,1,1,Bronx,1006734,242630,https://www.safehorizon.org/
Safe Horizon,Staten Island Community Office,"30 Bay Street, 5th Floor","Staten Island, NY 10301",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,1,,1,1,1,1,1,1,,1,1,1,Staten Island,963043,172942,https://www.safehorizon.org/
Safe Horizon,Manhattan Community Office,"100 E 122nd Street, 1st Floor","New York, NY 10035",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,Manhattan,1000816,231759,https://www.safehorizon.org/
Safe Horizon,Safe Horizon Counseling Center,"50 Court Street, 9th Floor","Brooklyn, NY 11201",347-328-8110,,1,1,,1,,,,,1,,1,,,,,1,1,1,1,,,1,1,1,1,Call to confirm eligibility,Monday - Thursday: 9 am - 8 pm Friday: 9 am - 6 pm,"
Saturday: 9 am - 4 pm",1,,,,1,1,,,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,986615,191555,https://www.safehorizon.org/
Safe Horizon,Brooklyn Child Advocacy Center,"320 Schermerhorn Street, 1st Floor","Brooklyn, NY 11217",718-330-5400,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 11 pm,"Saturday - Sunday: 9 am - 8 pm  ",1,,,,,,,,,1,,1,,1,New York State Central Register of Child Abuse and Maltreatment,,1,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,989325,189574,https://www.safehorizon.org/
Safe Horizon,Queens Child Advocacy Center,"112-25 Queens Boulevard, 3rd Floor","Forest Hills, NY 11375",718-575-1342,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 10 pm,Saturday - Sunday: 11 am - 7 pm,1,,,,,,,,,,,,Hebrew,1,New York State Central Register of Child Abuse and Maltreatment,1,1,1,1,1,1,1,1,1,1,,1,1,1,Queens,1029658,201063,https://www.safehorizon.org/
Safe Horizon,Staten Island Child Advocacy Center,"130 Stuyvesant Place, 5th Floor ","Staten Island, NY 10301",718-556-4095,,1,1,1,1,,,,1,,,1,,,,,,1,1,1,,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 8 pm,,1,,,,,,,,,,,,Hebrew,,New York State Central Register of Child Abuse and Maltreatment,1,1,1,1,1,1,1,1,1,1,,1,1,1,Staten Island,962871,173515,https://www.safehorizon.org/
Safe Horizon,Queens Family Justice Center,"126-02 82nd Avenue  ","Kew Gardens, NY 11415",718-575-4500,,1,1,1,1,1,,,,1,,1,,,1,,1,,,,,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"Hindi, Gujarati",1,,,,1,1,1,1,1,1,1,1,,1,1,1,Queens,1032459,199212,https://www.safehorizon.org/
Safe Horizon,Brooklyn Family Justice Center,"350 Jay Street, 15th Floor","Brooklyn, NY 11201",718-250-5111,,1,1,1,1,1,,,,1,,1,,,1,,1,,,,1,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"Hindi, Gujarati",1,,1,,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,987687,192183,https://www.safehorizon.org/
